Sequence,Object Name,Type,Created,Last Modified
1,AP_INVOICE_DISTRIBUTIONS_311225,TABLE,2026-01-02 07:21:30,2026-01-02 07:21:30
2,AP_INVOICE_DIST_060126,TABLE,2026-01-08 12:25:11,2026-01-08 12:25:11
3,AR_PAYMENT_SCHEDULES_ALL_140126,TABLE,2026-01-21 07:31:50,2026-01-21 07:31:50
4,BCKP_GLD_29515886,TABLE,2026-01-14 09:47:49,2026-01-14 09:47:49
5,BW_SUPPLIERS,TABLE,2026-02-06 14:58:17,2026-02-06 14:58:17
6,EBS_UTLFILE_PARAM,TABLE,2024-04-13 11:35:42,2026-02-01 07:40:18
7,EBS_UTLFILE_PARAM2,TABLE,2024-04-13 11:35:43,2026-02-01 07:40:18
8,FND_ORACLE_USERID_BAK,TABLE,2026-02-02 02:35:44,2026-02-02 02:35:44
9,FND_USER_BAK,TABLE,2026-02-02 02:35:43,2026-02-02 02:35:43
10,FUN_TRX_BATCHES_27794198051,TABLE,2026-01-28 10:08:02,2026-01-28 10:08:02
11,FUN_TRX_HEADERS_27794198051,TABLE,2026-01-28 10:08:06,2026-01-28 10:08:06
12,GL_BALANCES_BKP,TABLE,2026-02-01 02:36:59,2026-02-01 02:36:59
13,GL_RATES_INT_INC000001930247,TABLE,2026-01-05 21:46:08,2026-01-05 21:46:08
14,GL_RATES_INT_INCXXXXXXXXXXXXX,TABLE,2026-01-22 06:17:53,2026-01-22 06:17:53
15,IBY_EXTERNAL_PAYEES_ALL_BKP,TABLE,2026-02-02 02:35:28,2026-02-02 02:35:28
16,LCMT_5897973587347108,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
17,LCMT_5897973587347122,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
18,LCMT_5897973587347142,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
19,LCMT_5897973587465142,TABLE,2026-01-20 07:42:12,2026-01-20 07:42:12
20,LCMT_5897973587467162,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
21,LCMT_5897973587825202,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
22,LCMT_5897973587825203,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
23,LCMT_5897973587825204,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
24,LCMT_5897973587825205,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
25,LCMT_5897973587894362,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
26,LCMT_5897973587894363,TABLE,2026-01-20 07:42:12,2026-01-20 07:42:12
27,LCMT_5897973587894364,TABLE,2026-01-20 07:42:12,2026-01-20 07:42:12
28,LCMT_5897973587894365,TABLE,2026-01-20 07:42:12,2026-01-20 07:42:12
29,LCMT_591213000737594,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
30,LCMT_591213000737597,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
31,LCMT_5912130007376101,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
32,LCMT_5912130007376103,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
33,LCMT_5912130007376105,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
34,LCMT_5912130007382122,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
35,LCMT_5912130007388143,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
36,LCMT_5912130007389147,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
37,LCMT_5912130007389149,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
38,LCMT_5912130007390151,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
39,LCMT_779393580713521,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
40,LCMT_779393580713522,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
41,LCMT_779393580713726,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
42,LCMT_779393580713727,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
43,LCMT_779393580713728,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
44,LCMT_779393580713731,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
45,LCMT_779393580713734,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
46,LCMT_779393580713736,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
47,LCMT_779393580715142,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
48,LCMT_779393580715145,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
49,LCMT_779393580715355,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
50,LCMT_779393580715357,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
51,LCMT_779393580715363,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
52,LCMT_779393580715365,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
53,LCMT_779393580715367,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
54,LCMT_779393580715682,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
55,LCMT_779393580715684,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
56,LCMT_779393580715686,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
57,LCMT_779393580715688,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
58,LCMT_7793935807158102,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
59,LCMT_7793935807165104,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
60,LCMT_7793935807165105,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
61,LCMT_7793935807165107,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
62,LCMT_7793935807166109,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
63,LCMT_7793935807172125,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
64,LCMT_7793935807172127,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
65,LCMT_7793935807172129,TABLE,2026-01-20 07:42:13,2026-01-20 07:42:13
66,LCMT_7793935807172133,TABLE,2026-01-20 07:42:14,2026-01-20 07:42:14
67,TEMP_GLD_BKP123456,TABLE,2026-02-03 07:10:31,2026-02-03 07:10:31
68,TEMP_OBJ_LIST,TABLE,2026-02-20 22:56:13,2026-02-20 22:56:13
69,WF_NOTIFICATIONS_100226,TABLE,2026-02-10 10:39:15,2026-02-10 10:39:15
70,XLA_TRIAL_BALANCES_210126,TABLE,2026-01-21 14:07:14,2026-01-21 14:07:14
71,XXDNVGL_FTR_SAFT_REPORTING_TAB,TABLE,2026-02-03 11:10:11,2026-02-03 11:10:11
72,XXDNVGL_PA_MUB_TEMP_TAB,TABLE,2026-01-11 08:40:01,2026-01-11 08:40:01
73,XXDNVGL_PA_MUB_TEMP_TAB_160126,TABLE,2026-01-20 13:19:21,2026-01-20 13:19:21
74,XXDNVGL_SLA_PA_VW,TABLE,2019-09-23 10:54:28,2026-02-20 05:30:06
75,XXDNV_TEST_ERR,TABLE,2026-02-13 07:11:52,2026-02-13 07:11:52
76,XXIN05_LOG,TABLE,2026-02-20 07:12:37,2026-02-20 07:12:37
77,XXX_DOT_LETTERS_BKP16FEB,TABLE,2026-02-16 17:02:26,2026-02-16 17:02:26
78,XXX_DOT_LETTERS_BKP19JAN,TABLE,2026-01-19 10:37:35,2026-01-19 10:37:35
79,XX_IN50_OFS_DATA_BKP14012026,TABLE,2026-01-16 08:40:01,2026-01-16 08:40:01
80,flyway_schema_history,TABLE,2026-02-06 00:05:22,2026-02-06 00:05:22
